,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Kmeans_7,Cat
57,459167,Female,No,36,Yes,Artist,0.0,Low,2.0,Cat_5,3,Cat_3
58,459170,Female,No,35,Yes,Artist,1.0,Low,1.0,Cat_6,3,Cat_3
59,459171,Male,Yes,35,Yes,Artist,0.0,Average,2.0,Cat_6,6,Cat_6
60,459172,Male,No,18,No,Healthcare,3.0,Low,3.0,Cat_2,2,Cat_2
61,459175,Female,Yes,73,Yes,Artist,1.0,Average,2.0,Cat_6,5,Cat_5
62,459181,Male,Yes,62,No,Artist,1.0,High,3.0,Cat_6,1,Cat_1
63,459182,Female,Yes,46,Yes,Artist,1.0,Average,2.0,Cat_6,5,Cat_5
64,459184,Male,Yes,43,Yes,Entertainment,0.0,Low,4.0,Cat_4,4,Cat_4
65,459185,Female,No,32,Yes,Entertainment,7.0,Low,1.0,Cat_6,3,Cat_3
66,459193,Male,No,39,Yes,Artist,0.0,Low,1.0,Cat_6,0,Cat_0
67,459194,Female,Yes,89,Yes,Lawyer,0.0,High,2.0,Cat_6,1,Cat_1
68,459196,Female,No,18,No,Healthcare,0.0,Low,3.0,Cat_4,2,Cat_2
69,459208,Female,Yes,57,Yes,Artist,0.0,High,2.0,Cat_3,1,Cat_1
70,459209,Female,No,18,No,Entertainment,0.0,Low,4.0,Cat_6,2,Cat_2
71,459210,Female,Yes,71,Yes,Artist,1.0,High,2.0,Cat_6,1,Cat_1
72,459212,Female,Yes,69,Yes,Artist,0.0,Average,2.0,Cat_6,5,Cat_5
73,459213,Female,No,42,Yes,Healthcare,0.0,Low,4.0,Cat_6,3,Cat_3
74,459216,Female,No,36,Yes,Artist,0.0,Low,2.0,Cat_6,3,Cat_3
75,459220,Female,Yes,80,Yes,Lawyer,1.0,High,2.0,Cat_6,1,Cat_1
77,459222,Female,Yes,67,Yes,Artist,0.0,Average,3.0,Cat_6,5,Cat_5
78,459223,Female,Yes,47,Yes,Doctor,1.0,Average,4.0,Cat_6,5,Cat_5
79,459224,Female,Yes,49,Yes,Artist,0.0,Average,2.0,Cat_6,5,Cat_5
80,459227,Female,Yes,32,No,Engineer,9.0,Low,4.0,Cat_6,2,Cat_2
81,459229,Female,Yes,65,Yes,Lawyer,1.0,Average,4.0,Cat_6,5,Cat_5
82,459236,Female,Yes,78,No,Lawyer,0.0,High,2.0,Cat_6,1,Cat_1
83,459237,Male,No,33,Yes,Artist,1.0,Low,6.0,Cat_6,0,Cat_0
84,459244,Male,Yes,48,Yes,Artist,1.0,Low,1.0,Cat_6,4,Cat_4
85,459247,Male,Yes,58,Yes,Executive,1.0,Average,5.0,Cat_6,6,Cat_6
87,459263,Female,No,30,No,Healthcare,9.0,Low,4.0,Cat_6,2,Cat_2
88,459264,Female,No,35,Yes,Artist,0.0,Low,2.0,Cat_6,3,Cat_3
89,459266,Male,No,32,Yes,Healthcare,6.0,Low,5.0,Cat_6,0,Cat_0
90,459270,Male,Yes,69,Yes,Homemaker,1.0,High,2.0,Cat_6,1,Cat_1
91,459284,Female,Yes,71,Yes,Lawyer,1.0,High,2.0,Cat_6,1,Cat_1
92,459287,Male,No,43,Yes,Lawyer,0.0,Low,1.0,Cat_4,0,Cat_0
93,459288,Male,Yes,37,Yes,Artist,0.0,Low,2.0,Cat_6,4,Cat_4
94,459289,Male,No,42,Yes,Doctor,0.0,Low,1.0,Cat_6,0,Cat_0
95,459290,Female,Yes,70,Yes,Doctor,1.0,Average,2.0,Cat_6,5,Cat_5
96,459292,Male,No,46,Yes,Artist,0.0,Low,2.0,Cat_6,0,Cat_0
98,459296,Male,Yes,70,Yes,Artist,0.0,Average,2.0,Cat_6,6,Cat_6
100,459307,Male,Yes,60,Yes,Entertainment,1.0,Low,1.0,Cat_6,4,Cat_4
101,459310,Male,No,37,Yes,Entertainment,0.0,Low,2.0,Cat_2,0,Cat_0
102,459316,Male,Yes,30,Yes,Healthcare,1.0,Low,2.0,Cat_6,4,Cat_4
103,459318,Female,No,32,Yes,Engineer,1.0,Low,3.0,Cat_6,3,Cat_3
104,459320,Male,Yes,26,Yes,Executive,0.0,Low,3.0,Cat_6,4,Cat_4
105,459322,Male,No,42,Yes,Marketing,0.0,Low,1.0,Cat_6,0,Cat_0
108,459339,Male,Yes,29,Yes,Healthcare,8.0,High,2.0,Cat_6,1,Cat_1
109,459344,Female,Yes,88,Yes,Artist,1.0,High,2.0,Cat_6,1,Cat_1
110,459347,Male,Yes,70,Yes,Lawyer,1.0,Low,1.0,Cat_6,4,Cat_4
111,459349,Female,Yes,50,Yes,Artist,1.0,High,4.0,Cat_6,5,Cat_5
112,459352,Male,Yes,43,Yes,Doctor,4.0,Average,4.0,Cat_3,6,Cat_6
113,459353,Male,Yes,51,Yes,Artist,6.0,Average,2.0,Cat_6,6,Cat_6
118,459362,Male,Yes,60,No,Executive,0.0,Low,2.0,Cat_6,4,Cat_4
119,459363,Male,No,46,Yes,Artist,2.0,Low,1.0,Cat_6,0,Cat_0
120,459364,Female,Yes,81,Yes,Marketing,0.0,Low,2.0,Cat_6,5,Cat_5
122,459375,Male,Yes,22,No,Executive,0.0,High,4.0,Cat_6,1,Cat_1
123,459377,Male,Yes,37,Yes,Artist,0.0,Average,3.0,Cat_6,6,Cat_6
124,459383,Male,Yes,43,No,Engineer,0.0,Low,1.0,Cat_6,4,Cat_4
125,459384,Male,Yes,50,Yes,Artist,1.0,Average,3.0,Cat_6,6,Cat_6
126,459385,Female,Yes,35,Yes,Artist,1.0,Average,2.0,Cat_7,5,Cat_5
127,459386,Male,Yes,65,No,Lawyer,1.0,High,2.0,Cat_6,1,Cat_1
128,459391,Female,No,41,Yes,Engineer,0.0,Low,4.0,Cat_6,3,Cat_3
129,459394,Male,No,28,No,Entertainment,8.0,Low,2.0,Cat_6,2,Cat_2
130,459397,Male,Yes,55,Yes,Artist,4.0,Average,2.0,Cat_6,6,Cat_6
134,459405,Female,Yes,78,No,Doctor,1.0,High,2.0,Cat_6,1,Cat_1
135,459407,Female,No,35,Yes,Doctor,1.0,Low,3.0,Cat_6,3,Cat_3
136,459409,Female,Yes,76,Yes,Lawyer,0.0,High,2.0,Cat_6,1,Cat_1
137,459410,Female,Yes,88,Yes,Lawyer,1.0,High,2.0,Cat_6,1,Cat_1
140,459415,Male,No,30,No,Doctor,0.0,Low,4.0,Cat_6,2,Cat_2
141,459418,Male,Yes,69,No,Executive,0.0,High,2.0,Cat_6,1,Cat_1
142,459419,Male,Yes,65,Yes,Doctor,1.0,Average,2.0,Cat_6,6,Cat_6
143,459420,Female,Yes,70,Yes,Lawyer,1.0,Low,2.0,Cat_6,5,Cat_5
144,459421,Male,Yes,32,No,Healthcare,0.0,Average,4.0,Cat_6,6,Cat_6
146,459423,Male,No,21,No,Healthcare,8.0,Low,5.0,Cat_6,2,Cat_2
148,459428,Female,No,39,No,Marketing,0.0,Low,2.0,Cat_4,2,Cat_2
149,459432,Male,Yes,85,Yes,Lawyer,0.0,Low,3.0,Cat_6,4,Cat_4
150,459436,Female,No,66,Yes,Artist,0.0,Low,2.0,Cat_6,3,Cat_3
151,459439,Female,Yes,50,Yes,Artist,1.0,Average,2.0,Cat_6,5,Cat_5
152,459445,Female,Yes,42,Yes,Artist,0.0,Average,3.0,Cat_6,5,Cat_5
153,459447,Male,Yes,53,Yes,Artist,9.0,Low,1.0,Cat_6,4,Cat_4
155,459451,Female,Yes,45,Yes,Artist,1.0,Low,2.0,Cat_6,5,Cat_5
158,459459,Male,Yes,40,Yes,Artist,4.0,Low,1.0,Cat_6,4,Cat_4
159,459461,Female,Yes,35,Yes,Artist,1.0,Low,1.0,Cat_1,3,Cat_3
161,459466,Female,Yes,48,Yes,Artist,0.0,Average,3.0,Cat_4,5,Cat_5
162,459467,Female,Yes,56,Yes,Artist,0.0,Average,2.0,Cat_6,5,Cat_5
165,459480,Female,Yes,46,Yes,Entertainment,7.0,Low,3.0,Cat_6,5,Cat_5
166,459481,Male,Yes,49,No,Lawyer,0.0,Low,2.0,Cat_6,4,Cat_4
167,459482,Male,Yes,72,No,Marketing,1.0,Low,4.0,Cat_6,4,Cat_4
170,459497,Female,Yes,77,Yes,Lawyer,0.0,Low,1.0,Cat_6,3,Cat_3
172,459503,Male,Yes,42,Yes,Healthcare,6.0,High,4.0,Cat_6,1,Cat_1
175,459509,Male,No,26,Yes,Healthcare,1.0,Low,1.0,Cat_6,0,Cat_0
176,459512,Male,Yes,67,Yes,Lawyer,1.0,High,2.0,Cat_6,1,Cat_1
177,459515,Male,Yes,55,Yes,Engineer,1.0,Low,1.0,Cat_6,4,Cat_4
180,459535,Male,Yes,46,Yes,Artist,8.0,Average,2.0,Cat_6,6,Cat_6
181,459536,Male,Yes,32,Yes,Healthcare,7.0,Low,2.0,Cat_6,4,Cat_4
182,459538,Female,No,49,Yes,Homemaker,13.0,Low,1.0,Cat_6,3,Cat_3
183,459541,Male,Yes,59,Yes,Artist,1.0,High,2.0,Cat_6,1,Cat_1
184,459549,Male,No,22,No,Healthcare,8.0,Low,5.0,Cat_4,2,Cat_2
185,459555,Female,No,28,Yes,Artist,8.0,Low,1.0,Cat_6,3,Cat_3
186,459558,Male,No,28,Yes,Entertainment,1.0,Low,3.0,Cat_6,0,Cat_0
187,459564,Male,Yes,75,Yes,Lawyer,2.0,Low,1.0,Cat_6,4,Cat_4
188,459566,Female,Yes,37,Yes,Artist,13.0,Low,2.0,Cat_6,5,Cat_5
189,459567,Male,Yes,50,Yes,Doctor,0.0,Average,2.0,Cat_6,6,Cat_6
190,459571,Female,Yes,50,Yes,Executive,1.0,High,4.0,Cat_6,5,Cat_5
192,459579,Female,Yes,35,Yes,Artist,3.0,Average,5.0,Cat_4,5,Cat_5
195,459583,Male,Yes,46,Yes,Artist,0.0,Low,1.0,Cat_6,4,Cat_4
196,459585,Female,Yes,50,Yes,Artist,1.0,Average,4.0,Cat_6,5,Cat_5
197,459587,Female,No,33,Yes,Artist,7.0,Low,3.0,Cat_6,3,Cat_3
198,459588,Male,Yes,49,Yes,Artist,0.0,Low,1.0,Cat_6,4,Cat_4
199,459591,Male,Yes,52,Yes,Artist,1.0,Average,3.0,Cat_6,6,Cat_6
200,459592,Male,No,25,No,Healthcare,0.0,Low,3.0,Cat_6,2,Cat_2
201,459594,Female,Yes,41,Yes,Artist,6.0,Low,1.0,Cat_6,3,Cat_3
202,459597,Female,Yes,68,Yes,Artist,0.0,High,2.0,Cat_6,1,Cat_1
203,459603,Female,Yes,79,No,Lawyer,2.0,High,2.0,Cat_6,1,Cat_1
204,459607,Male,Yes,40,Yes,Entertainment,5.0,Average,5.0,Cat_6,6,Cat_6
208,459617,Male,No,28,Yes,Entertainment,1.0,Low,5.0,Cat_6,0,Cat_0
209,459618,Male,Yes,57,Yes,Doctor,0.0,Average,2.0,Cat_4,6,Cat_6
211,459625,Female,Yes,63,No,Engineer,8.0,Low,1.0,Cat_6,3,Cat_3
212,459626,Female,Yes,26,No,Entertainment,1.0,Low,3.0,Cat_6,2,Cat_2
213,459632,Female,Yes,50,No,Marketing,0.0,High,3.0,Cat_4,1,Cat_1
214,459644,Female,No,30,No,Marketing,9.0,Low,4.0,Cat_2,2,Cat_2
216,459658,Male,Yes,61,Yes,Artist,1.0,Average,3.0,Cat_6,6,Cat_6
217,459664,Male,No,42,Yes,Artist,3.0,Low,1.0,Cat_6,0,Cat_0
218,459665,Male,Yes,88,Yes,Artist,4.0,Low,2.0,Cat_6,4,Cat_4
219,459672,Male,Yes,45,No,Artist,3.0,Average,3.0,Cat_6,6,Cat_6
220,459673,Female,Yes,86,Yes,Lawyer,1.0,Low,1.0,Cat_6,3,Cat_3
221,459678,Male,No,18,No,Healthcare,1.0,Low,5.0,Cat_6,2,Cat_2
223,459686,Male,Yes,46,Yes,Artist,1.0,Low,1.0,Cat_6,4,Cat_4
225,459692,Female,Yes,72,Yes,Lawyer,8.0,High,2.0,Cat_6,1,Cat_1
228,459701,Male,No,46,No,Artist,3.0,Low,3.0,Cat_5,2,Cat_2
230,459711,Male,Yes,42,No,Executive,9.0,High,6.0,Cat_6,1,Cat_1
233,459715,Male,No,19,No,Healthcare,4.0,Low,4.0,Cat_6,2,Cat_2
234,459718,Male,Yes,68,Yes,Executive,1.0,Low,1.0,Cat_6,4,Cat_4
235,459725,Female,Yes,40,Yes,Artist,0.0,Low,2.0,Cat_6,5,Cat_5
237,459740,Female,No,23,No,Healthcare,1.0,Low,3.0,Cat_6,2,Cat_2
238,459742,Female,Yes,84,No,Lawyer,1.0,High,2.0,Cat_6,1,Cat_1
239,459745,Male,Yes,51,No,Artist,0.0,Low,4.0,Cat_1,4,Cat_4
241,459747,Female,Yes,41,Yes,Artist,1.0,Average,5.0,Cat_6,5,Cat_5
242,459748,Male,Yes,51,No,Executive,1.0,High,2.0,Cat_6,1,Cat_1
244,459756,Female,Yes,62,No,Lawyer,1.0,High,4.0,Cat_4,1,Cat_1
245,459760,Female,Yes,38,Yes,Artist,8.0,Low,1.0,Cat_6,3,Cat_3
247,459767,Male,No,22,No,Healthcare,3.0,Low,4.0,Cat_6,2,Cat_2
249,459779,Female,Yes,62,Yes,Entertainment,1.0,Low,1.0,Cat_6,3,Cat_3
250,459780,Female,No,43,No,Entertainment,1.0,Low,3.0,Cat_6,2,Cat_2
253,459795,Male,No,48,Yes,Artist,1.0,Low,1.0,Cat_6,0,Cat_0
254,459801,Female,No,31,Yes,Engineer,4.0,Low,2.0,Cat_6,3,Cat_3
255,459804,Male,Yes,46,No,Artist,4.0,High,4.0,Cat_6,1,Cat_1
256,459806,Female,Yes,49,No,Engineer,1.0,Average,4.0,Cat_6,5,Cat_5
258,459815,Male,No,42,Yes,Artist,8.0,Low,1.0,Cat_6,0,Cat_0
262,459822,Female,No,39,Yes,Engineer,1.0,Low,1.0,Cat_4,3,Cat_3
263,459825,Male,No,20,No,Healthcare,0.0,Low,5.0,Cat_2,2,Cat_2
265,459832,Male,Yes,72,Yes,Executive,1.0,Low,1.0,Cat_6,4,Cat_4
266,459845,Male,Yes,70,Yes,Healthcare,0.0,Low,1.0,Cat_4,4,Cat_4
267,459851,Male,No,45,Yes,Artist,2.0,Low,1.0,Cat_6,0,Cat_0
268,459853,Male,No,33,No,Executive,7.0,Low,5.0,Cat_6,2,Cat_2
269,459856,Male,Yes,50,No,Entertainment,0.0,Average,3.0,Cat_6,6,Cat_6
270,459857,Male,No,31,Yes,Entertainment,6.0,Low,1.0,Cat_6,0,Cat_0
271,459861,Female,Yes,74,No,Lawyer,1.0,High,2.0,Cat_6,1,Cat_1
274,459867,Male,Yes,49,Yes,Marketing,0.0,High,2.0,Cat_6,1,Cat_1
275,459869,Female,No,18,No,Healthcare,1.0,Low,3.0,Cat_6,2,Cat_2
276,459871,Female,Yes,85,No,Entertainment,2.0,Average,2.0,Cat_6,5,Cat_5
278,459886,Male,Yes,28,No,Artist,0.0,Low,4.0,Cat_6,4,Cat_4
280,459889,Male,Yes,59,Yes,Homemaker,9.0,Average,3.0,Cat_6,6,Cat_6
281,459897,Female,Yes,56,Yes,Artist,0.0,Low,2.0,Cat_6,5,Cat_5
282,459909,Male,Yes,69,Yes,Artist,0.0,Low,1.0,Cat_6,4,Cat_4
283,459910,Male,Yes,66,Yes,Artist,0.0,Low,2.0,Cat_6,4,Cat_4
284,459911,Male,No,18,No,Healthcare,4.0,Low,6.0,Cat_2,2,Cat_2
285,459914,Male,No,36,Yes,Artist,4.0,Low,1.0,Cat_4,0,Cat_0
286,459923,Male,No,31,Yes,Marketing,1.0,Low,2.0,Cat_3,0,Cat_0
287,459925,Male,Yes,67,No,Executive,1.0,High,2.0,Cat_4,1,Cat_1
288,459937,Female,No,39,Yes,Artist,7.0,Low,1.0,Cat_6,3,Cat_3
289,459943,Male,No,42,Yes,Entertainment,4.0,Low,3.0,Cat_6,0,Cat_0
290,459945,Male,Yes,50,Yes,Artist,0.0,Low,2.0,Cat_6,4,Cat_4
291,459946,Female,Yes,37,Yes,Artist,0.0,Average,2.0,Cat_6,5,Cat_5
292,459949,Female,No,59,Yes,Artist,0.0,Low,1.0,Cat_6,3,Cat_3
293,459953,Male,Yes,50,Yes,Artist,8.0,Low,2.0,Cat_6,4,Cat_4
294,459961,Male,Yes,48,Yes,Artist,8.0,Low,3.0,Cat_2,4,Cat_4
295,459962,Male,Yes,55,Yes,Artist,9.0,Low,1.0,Cat_6,4,Cat_4
296,459966,Female,No,33,Yes,Doctor,1.0,Low,3.0,Cat_6,3,Cat_3
297,459968,Male,No,38,Yes,Artist,13.0,Low,1.0,Cat_7,0,Cat_0
298,459970,Male,No,43,Yes,Artist,0.0,Low,2.0,Cat_6,0,Cat_0
299,459973,Female,No,53,Yes,Artist,0.0,Low,2.0,Cat_6,3,Cat_3
300,459974,Male,No,37,Yes,Entertainment,0.0,Low,1.0,Cat_6,0,Cat_0
301,459975,Female,No,36,Yes,Artist,5.0,Low,1.0,Cat_6,3,Cat_3
302,459981,Male,No,36,Yes,Artist,5.0,Low,1.0,Cat_6,0,Cat_0
303,459986,Male,Yes,62,Yes,Artist,1.0,Low,1.0,Cat_6,4,Cat_4
304,459995,Female,No,38,No,Artist,2.0,Low,2.0,Cat_6,2,Cat_2
305,459996,Male,No,55,Yes,Entertainment,1.0,Low,1.0,Cat_6,0,Cat_0
306,459998,Male,Yes,60,No,Entertainment,1.0,Average,2.0,Cat_6,6,Cat_6
307,460004,Female,Yes,36,Yes,Entertainment,7.0,Average,2.0,Cat_5,5,Cat_5
308,460006,Male,No,30,No,Entertainment,5.0,Low,9.0,Cat_3,2,Cat_2
309,460014,Female,No,66,No,Entertainment,4.0,Low,3.0,Cat_6,2,Cat_2
310,460023,Male,Yes,45,Yes,Entertainment,1.0,Low,1.0,Cat_6,4,Cat_4
314,460040,Female,Yes,62,Yes,Homemaker,4.0,Low,1.0,Cat_5,3,Cat_3
315,460045,Male,Yes,61,Yes,Artist,1.0,Low,2.0,Cat_6,4,Cat_4
316,460046,Female,Yes,50,Yes,Artist,4.0,Low,2.0,Cat_6,5,Cat_5
317,460050,Male,Yes,53,Yes,Entertainment,3.0,Low,2.0,Cat_6,4,Cat_4
318,460051,Male,No,39,Yes,Artist,7.0,Low,1.0,Cat_6,0,Cat_0
319,460052,Female,No,86,Yes,Lawyer,0.0,Low,1.0,Cat_3,3,Cat_3
320,460058,Male,Yes,50,Yes,Artist,1.0,Low,1.0,Cat_4,4,Cat_4
322,460061,Male,No,52,Yes,Marketing,0.0,Low,1.0,Cat_3,0,Cat_0
323,460066,Female,No,45,No,Marketing,0.0,Low,1.0,Cat_6,3,Cat_3
324,460068,Female,No,37,Yes,Artist,9.0,Low,1.0,Cat_6,3,Cat_3
325,460073,Female,Yes,36,Yes,Engineer,3.0,Low,1.0,Cat_6,3,Cat_3
327,460079,Female,No,40,No,Doctor,1.0,Low,1.0,Cat_6,3,Cat_3
328,460081,Male,Yes,41,Yes,Artist,11.0,High,2.0,Cat_6,1,Cat_1
330,460090,Male,Yes,80,No,Lawyer,4.0,Average,2.0,Cat_6,6,Cat_6
331,460093,Female,No,46,Yes,Artist,3.0,Low,1.0,Cat_3,3,Cat_3
332,460095,Female,Yes,81,Yes,Lawyer,1.0,Low,1.0,Cat_6,3,Cat_3
335,460101,Female,No,26,Yes,Healthcare,8.0,Low,3.0,Cat_3,3,Cat_3
336,460103,Male,No,26,Yes,Artist,1.0,Low,1.0,Cat_4,0,Cat_0
337,460105,Female,No,47,Yes,Artist,0.0,Low,1.0,Cat_4,3,Cat_3
339,460107,Male,Yes,48,Yes,Engineer,1.0,Average,5.0,Cat_6,6,Cat_6
340,460108,Male,Yes,39,Yes,Artist,1.0,Average,3.0,Cat_2,6,Cat_6
341,460109,Male,Yes,50,Yes,Artist,8.0,Average,2.0,Cat_6,6,Cat_6
343,460112,Male,Yes,26,Yes,Engineer,8.0,Average,2.0,Cat_3,6,Cat_6
345,460118,Female,Yes,36,Yes,Artist,4.0,Low,2.0,Cat_6,5,Cat_5
346,460119,Male,No,29,Yes,Healthcare,1.0,Low,4.0,Cat_6,0,Cat_0
347,460122,Female,No,39,No,Artist,1.0,Low,1.0,Cat_6,3,Cat_3
348,460124,Female,No,41,Yes,Artist,0.0,Low,3.0,Cat_6,3,Cat_3
350,460134,Male,Yes,40,Yes,Entertainment,9.0,High,3.0,Cat_6,1,Cat_1
351,460135,Female,No,25,Yes,Healthcare,4.0,Low,3.0,Cat_6,3,Cat_3
352,460140,Female,Yes,41,Yes,Artist,7.0,Low,2.0,Cat_6,5,Cat_5
353,460141,Male,No,37,Yes,Artist,11.0,Low,1.0,Cat_6,0,Cat_0
355,460146,Female,Yes,51,Yes,Engineer,0.0,Average,3.0,Cat_3,5,Cat_5
356,460147,Male,Yes,73,Yes,Entertainment,1.0,Average,3.0,Cat_6,6,Cat_6
358,460160,Male,No,39,Yes,Entertainment,5.0,Low,1.0,Cat_3,0,Cat_0
359,460162,Female,No,19,No,Healthcare,0.0,Low,4.0,Cat_2,2,Cat_2
360,460166,Female,No,19,No,Healthcare,0.0,Low,7.0,Cat_2,2,Cat_2
361,460167,Female,No,23,No,Entertainment,1.0,Low,5.0,Cat_2,2,Cat_2
362,460168,Male,Yes,83,Yes,Executive,0.0,High,2.0,Cat_2,1,Cat_1
363,460171,Female,Yes,62,Yes,Artist,1.0,High,2.0,Cat_6,1,Cat_1
364,460174,Female,No,43,Yes,Artist,9.0,Low,4.0,Cat_6,3,Cat_3
365,460175,Female,No,27,No,Artist,0.0,Low,5.0,Cat_2,2,Cat_2
366,460177,Male,No,50,Yes,Artist,0.0,Low,1.0,Cat_6,0,Cat_0
367,460179,Female,No,23,No,Entertainment,0.0,Low,6.0,Cat_2,2,Cat_2
368,460183,Male,No,35,No,Entertainment,9.0,Low,2.0,Cat_6,2,Cat_2
369,460185,Male,No,32,No,Healthcare,9.0,Low,3.0,Cat_6,2,Cat_2
370,460187,Female,No,42,Yes,Doctor,2.0,Low,3.0,Cat_6,3,Cat_3
371,460189,Male,No,33,No,Entertainment,13.0,Low,1.0,Cat_6,2,Cat_2
372,460190,Female,No,28,Yes,Entertainment,9.0,Low,3.0,Cat_6,3,Cat_3
374,460196,Female,No,35,Yes,Healthcare,9.0,Low,2.0,Cat_6,3,Cat_3
375,460206,Female,Yes,39,Yes,Entertainment,0.0,Low,2.0,Cat_6,5,Cat_5
377,460212,Male,Yes,35,Yes,Entertainment,11.0,Low,6.0,Cat_6,4,Cat_4
378,460214,Female,Yes,45,Yes,Engineer,0.0,Average,2.0,Cat_6,5,Cat_5
380,460223,Male,No,52,No,Entertainment,1.0,Low,1.0,Cat_6,2,Cat_2
381,460227,Male,No,28,No,Healthcare,0.0,Low,3.0,Cat_6,2,Cat_2
382,460242,Male,Yes,38,Yes,Healthcare,9.0,Low,3.0,Cat_6,4,Cat_4
383,460243,Female,No,42,Yes,Entertainment,8.0,Low,1.0,Cat_6,3,Cat_3
385,460248,Female,No,27,Yes,Healthcare,7.0,Low,2.0,Cat_6,3,Cat_3
386,460252,Male,Yes,41,Yes,Artist,0.0,Low,2.0,Cat_6,4,Cat_4
387,460263,Male,Yes,41,Yes,Artist,1.0,Low,2.0,Cat_6,4,Cat_4
388,460265,Male,Yes,47,Yes,Executive,0.0,High,4.0,Cat_6,1,Cat_1
389,460270,Male,No,35,Yes,Doctor,8.0,Low,1.0,Cat_6,0,Cat_0
