food_name,date_added,date_modified,online_sales?,total_sales?,approved,errors
soda bread,05/04/2018,22/08/2019,1450,895,1.0,
oatmeal,07/04/2018,26/12/2018,4039,4619,1.0,
jalapeño,09/04/2018,03/08/2018,3635,4893,1.0,
pilaf,09/04/2018,26/06/2019,2213,389,1.0,
pumpkin,12/04/2018,19/03/2019,6,12,0.0,
crackers,14/04/2018,07/07/2018,3280,1261,1.0,
ice cream,16/04/2018,13/03/2019,1872,2796,1.0,
shallots,16/04/2018,16/11/2019,2224,1268,1.0,
fish,18/04/2018,21/06/2018,2,3218,1.0,
orange,20/04/2018,28/04/2018,1066,3344,1.0,
rye,22/04/2018,03/07/2018,2592,100,1.0,
pancake,26/04/2018,30/06/2019,3131,973,1.0,
buckwheat,27/04/2018,11/12/2018,2092,624,1.0,
pear,27/04/2018,26/05/2019,90,3132,1.0,
potato,28/04/2018,10/05/2019,2540,1685,1.0,
rosemary,02/05/2018,06/08/2019,283,3189,1.0,
peanut butter,03/05/2018,21/08/2018,1101,163,1.0,
kiwi,05/05/2018,02/12/2018,3195,1089,1.0,
brown rice,07/05/2018,04/09/2019,2053,3072,1.0,
teriyaki,09/05/2018,03/12/2018,2649,2663,1.0,
tofu,09/05/2018,13/05/2019,3421,40,1.0,
steak,12/05/2018,22/06/2019,1500,2125,1.0,
ribs,21/05/2018,16/02/2019,3408,731,1.0,
taco,21/05/2018,27/07/2019,2772,4047,1.0,
hamburger,22/05/2018,27/12/2018,1490,4628,1.0,
beancurd,23/05/2018,28/03/2019,1413,2472,1.0,
tuber,23/05/2018,20/06/2018,516,2964,1.0,
hummus,26/05/2018,01/12/2019,2560,2385,1.0,
soy sauce,27/05/2018,15/08/2018,3579,1314,1.0,
pea pod,01/06/2018,15/06/2019,2368,3001,1.0,
cloves,03/06/2018,15/12/2019,2417,1286,1.0,
caramel,04/06/2018,25/01/2019,3414,2388,1.0,
sorghum,04/06/2018,17/09/2019,3437,1895,1.0,
caramel apple,07/06/2018,25/07/2019,2778,4783,1.0,
fruit,07/06/2018,14/11/2019,745,1282,1.0,non-specific item
nut,07/06/2018,06/08/2019,449,287,1.0,
lemonade,08/06/2018,03/01/2019,2893,4435,1.0,
cauliflower,09/06/2018,20/09/2019,602,4082,1.0,
pomegranate,09/06/2018,22/08/2019,4183,442,1.0,
ice,10/06/2018,01/05/2019,3288,4652,1.0,
ketchup,15/06/2018,11/03/2019,956,1501,1.0,
cherry,17/06/2018,16/12/2018,316,3238,1.0,
gravy,17/06/2018,29/05/2019,255,4901,1.0,
liver,17/06/2018,30/08/2019,2032,2799,1.0,
persimmon,17/06/2018,10/12/2018,902,1274,1.0,
mustard greens,20/06/2018,04/06/2019,1350,396,1.0,
tarragon,20/06/2018,31/12/2018,3188,75,1.0,
venison,21/06/2018,24/01/2019,3838,4338,1.0,
dessert,23/06/2018,27/06/2018,218,2180,1.0,
tangerine,01/07/2018,31/07/2019,2434,4412,1.0,
marshmallow,15/07/2018,01/07/2019,3602,1552,1.0,
peperoni,16/07/2018,07/11/2018,3089,4513,1.0,
chicken,17/07/2018,06/06/2019,2449,675,1.0,
endive,17/07/2018,02/11/2018,1046,597,1.0,
papaya,17/07/2018,24/08/2019,3892,4732,1.0,
almondanchovy,19/07/2018,11/01/2019,2089,1986,1.0,sp error
coffee,19/07/2018,16/03/2019,2254,2805,1.0,
pita bread,20/07/2018,21/01/2019,24,47,1.0,
clam,24/07/2018,25/06/2019,2946,3936,1.0,
tea,25/07/2018,25/09/2019,1293,653,1.0,
cinnamon,27/07/2018,13/08/2019,3003,1927,1.0,
soup,31/07/2018,17/06/2019,1610,2904,1.0,
melon,01/08/2018,11/02/2019,3580,2631,1.0,
oats,04/08/2018,06/12/2019,530,4573,1.0,
ginger ale,08/08/2018,21/02/2019,3422,696,1.0,
salami,11/08/2018,02/09/2018,547,1910,1.0,
tapioca,11/08/2018,24/11/2019,1882,4754,1.0,
ham,12/08/2018,10/10/2018,823,4919,1.0,
bacon,13/08/2018,15/10/2018,244,1480,1.0,
jellybeans,14/08/2018,22/08/2018,2250,572,1.0,
iceberg lettuce,15/08/2018,29/10/2018,3661,3934,1.0,
kebab,15/08/2018,24/12/2018,1320,2315,1.0,
licorice,15/08/2018,01/05/2019,1554,879,1.0,
tomato,17/08/2018,24/04/2019,4132,4815,1.0,
berry,18/08/2018,17/12/2018,297,113,1.0,
pomelo,18/08/2018,01/09/2019,1152,3406,1.0,
pepperoni,22/08/2018,23/09/2018,1702,4794,1.0,
legumes,23/08/2018,18/09/2019,2834,3697,1.0,
jimmies,24/08/2018,05/08/2019,1440,2195,1.0,
potato,26/08/2018,30/12/2019,1524,1972,1.0,
spuds,26/08/2018,30/12/2019,1524,1972,1.0,
entree,27/08/2018,24/12/2019,496,2801,1.0,
tomatillo,01/09/2018,08/12/2019,3405,370,1.0,
vanilla,01/09/2018,18/01/2019,4000,1400,1.0,
butter,03/09/2018,17/09/2019,798,933,1.0,
acon squash,04/09/2018,10/10/2018,1615,4914,1.0,sp error + duplicate
acorn squash,04/09/2018,10/10/2018,1615,4914,1.0,
plum,08/09/2018,13/10/2018,2859,545,1.0,
casserole,09/09/2018,12/10/2019,727,2862,1.0,
curry,11/09/2018,09/11/2019,3372,4526,1.0,
suet,13/09/2018,02/02/2019,4302,4998,1.0,
boysenberry,15/09/2018,09/10/2018,473,3361,1.0,
pasta,18/09/2018,31/01/2019,-1,1,1.0,
pineapple,18/09/2018,14/08/2019,4088,231,1.0,
seeds,19/09/2018,01/03/2019,1737,3436,1.0,
Edam cheese,24/09/2018,18/10/2018,1822,1108,1.0,has a capitol letter
citrus,01/10/2018,31/05/2019,2982,4596,1.0,
soda,02/10/2018,05/11/2018,2603,3903,1.0,
chips,07/10/2018,14/11/2018,4212,4624,1.0,
French fries,08/10/2018,21/01/2019,2000,1172,1.0,capitol letter
carrot,10/10/2018,12/12/2019,815,2901,1.0,
Brussels sprouts,12/10/2018,07/01/2019,2787,2703,1.0,
lemon,15/10/2018,11/11/2019,1334,2820,1.0,
watermelon,15/10/2018,13/11/2018,3569,3372,1.0,
candy apple,16/10/2018,06/12/2018,3738,3387,1.0,
sugar,16/10/2018,23/11/2018,1563,4724,1.0,
curds,22/10/2018,03/06/2019,1445,397,1.0,
candy,26/10/2018,23/06/2019,3337,1610,1.0,
julienne,29/10/2018,28/11/2019,976,4626,1.0,
pop,29/10/2018,25/12/2018,245,1943,1.0,
stew,31/10/2018,07/05/2019,1187,3998,1.0,
meatball,2018-11-01,23/07/2019,3076,1291,1.0,date added was in the wrong format
cereal,03/11/2018,18/12/2018,678,3791,1.0,
split peas,03/11/2018,06/02/2019,4223,2881,1.0,
cashew,04/11/2018,23/01/2019,2535,788,1.0,
grapefruit,05/11/2018,01/12/2018,3923,3110,1.0,
mayonnaise,09/11/2018,06/09/2019,1508,1907,1.0,
yam,10/11/2018,17/12/2019,1007,1142,1.0,
crepe,11/11/2018,11/11/2018,2867,2788,1.0,
relish,11/11/2018,05/07/2019,2413,2925,1.0,
veal,11/11/2018,25/11/2019,339,3632,1.0,
durian,13/11/2018,19/09/2019,51,693,1.0,
chili,16/11/2018,09/07/2019,2695,3971,1.0,
sundae,16/11/2018,03/10/2019,2095,4234,1.0,
crisp,17/11/2018,29/12/2019,4243,922,1.0,
collard greens,22/11/2018,12/01/2019,1591,714,1.0,
cantaloupe,24/11/2018,07/05/2019,537,3150,1.0,
wheat,24/11/2018,22/07/2019,1098,2506,1.0,
guacamole,26/11/2018,22/03/2019,3256,3800,1.0,
black beans,29/11/2018,13/12/2019,1463,3162,1.0,
fava beans,29/11/2018,19/02/2019,2342,2741,1.0,
mussels,30/11/2018,16/11/2019,3871,1121,1.0,
jicama,01/12/2018,28/10/2019,448,3039,1.0,
tart,01/12/2018,02/05/2019,791,4285,1.0,
walnut,06/12/2018,12/03/2019,877,4837,1.0,
breadfruit,09/12/2018,29/01/2019,4134,726,1.0,
pecan,12/12/2018,10/10/2019,2171,2682,1.0,
dandelion greens,16/12/2018,18/08/2019,275,327,1.0,
frosting,22/12/2018,08/06/2019,2494,1132,1.0,
sweet potato,22/12/2018,08/09/2019,745,1018,1.0,
lamb,23/12/2018,28/07/2019,3680,4330,1.0,
lychee,24/12/2018,04/11/2019,474,2706,1.0,
gingerbread,26/12/2018,17/02/2019,527,2369,1.0,
capers,29/12/2018,02/01/2019,3580,3498,1.0,
soybeans,29/12/2018,07/06/2019,3867,2580,1.0,
broccoli,30/12/2018,13/10/2019,4125,281,1.0,
artichoke,03/01/2019,10/02/2019,1125,1630,1.0,
flax,06/01/2019,05/10/2019,3747,4803,1.0,
mushroom,06/01/2019,24/07/2019,3326,2458,1.0,
oleo,07/01/2019,24/09/2019,2898,891,1.0,
chopsticks,08/01/2019,28/07/2019,729,3430,1.0,
sour cream,09/01/2019,06/09/2019,2096,4508,1.0,
spices,09/01/2019,13/03/2019,487,4748,1.0,
kale,10/01/2019,31/01/2019,297,644,1.0,
barley,15/01/2019,10/04/2019,778,4965,1.0,
,20/01/2019,03/09/2019,2791,2596,1.0,no food name
bater,22/01/2019,17/07/2019,2630,1223,1.0,
iced tea,22/01/2019,01/06/2019,472,1960,1.0,
honey,23/01/2019,21/04/2019,2906,3818,1.0,
sunflower,24/01/2019,14/04/2019,917,3952,1.0,
cupcake,26/01/2019,12/12/2019,4275,2560,1.0,
asparagus,27/01/2019,24/08/2019,3600,3161,1.0,
fig,31/01/2019,20/12/2019,853,4148,1.0,
mango,31/01/2019,29/10/2019,4301,929,1.0,
toffee,01/02/2019,27/06/2019,3221,4641,1.0,
cornflakes,02/02/2019,26/12/2019,1508,4614,1.0,
pepper,04/02/2019,17/02/2019,675,3793,1.0,
egg,11/02/2019,25/09/2019,3554,114,1.0,
tortilla,11/02/2019,22/12/2019,3015,3429,1.0,
jelly,13/02/2019,31/10/2019,3122,4895,1.0,
onion,15/02/2019,03/05/2019,2286,1932,1.0,
green bean,16/02/2019,17/11/2019,3756,3395,1.0,
flour,20/02/2019,03/11/2019,1647,2201,1.0,
squid,20/02/2019,19/08/2019,3823,3110,1.0,
kohlrabi,24/02/2019,18/12/2019,3144,1728,1.0,
cassava,01/03/2019,12/03/2019,3104,915,1.0,
coleslaw,03/03/2019,26/10/2019,2301,770,1.0,
citron,07/03/2019,29/07/2019,300,3282,1.0,
marmalade,10/03/2019,10/06/2019,2477,206,1.0,
muffin,10/03/2019,28/03/2019,3552,2980,1.0,
jam,11/03/2019,21/08/2019,1432,1944,1.0,
chutney,14/03/2019,17/03/2019,2466,3154,1.0,
saffron,17/03/2019,13/10/2019,3379,4523,1.0,
bater,26/03/2019,13/12/2019,4062,3620,1.0,
spaghetti,29/03/2019,12/05/2019,2538,2136,1.0,
seaweed,30/03/2019,02/12/2019,491,4498,1.0,
Swiss chard,31/03/2019,25/10/2019,2530,4168,1.0,capitol letter
olive,01/04/2019,26/07/2019,3249,3541,1.0,
romaine,01/04/2019,27/10/2019,4174,1232,1.0,
BROCCOLI,02/04/2019,18/07/2019,1767,850,1.0,all caps
pork chops,04/04/2019,20/04/2019,2907,86,1.0,
custard,05/04/2019,08/10/2019,546,3659,1.0,
oil,05/04/2019,27/08/2019,1443,3442,1.0,
strudel,06/04/2019,25/06/2019,598,730,1.0,
pizza,07/04/2019,17/07/2019,1990,844,1.0,
waffle,07/04/2019,14/12/2019,3667,1135,1.0,
pickle,08/04/2019,31/12/2019,2726,1369,1.0,
pie,12/04/2019,23/09/2019,462,3104,1.0,
peanut,16/04/2019,06/08/2019,2038,1767,1.0,
corn,17/04/2019,18/06/2019,509,2574,1.0,
ravioli,18/04/2019,25/12/2019,306,4574,1.0,
sage,19/04/2019,30/06/2019,2641,3760,1.0,
patty,20/04/2019,28/07/2019,2077,3300,1.0,
cheddar,21/04/2019,14/10/2019,3071,3843,1.0,
chives,23/04/2019,21/07/2019,1989,1803,1.0,
black-eyed peas,28/04/2019,30/12/2019,745,2149,1.0,
cream cheese,30/04/2019,19/09/2019,3474,4877,1.0,
oyster,30/04/2019,02/08/2019,46,1313,1.0,
torte,30/04/2019,16/12/2019,783,2595,1.0,
anise,06/05/2019,16/07/2019,3362,611,1.0,
honeydew,07/05/2019,14/09/2019,3803,3758,1.0,
millet,09/05/2019,04/06/2019,3637,4931,1.0,
apple,11/05/2019,22/12/2019,1899,2570,1.0,
grape,11/05/2019,07/11/2019,2399,3924,1.0,
sauerkraut,13/05/2019,15/06/2019,1174,2242,1.0,
cheese,14/05/2019,14/08/2019,881,508,1.0,
parsnip,14/05/2019,09/08/2019,2833,1327,1.0,
cayenne pepper,16/05/2019,10/12/2019,1239,4051,1.0,
dragonfruit,18/05/2019,28/08/2019,1025,3082,1.0,
macaroni,18/05/2019,09/09/2019,1716,1645,1.0,
lard,19/05/2019,25/05/2019,3726,2413,1.0,
sorrel,19/05/2019,16/11/2019,76,3070,1.0,
yogurt,19/05/2019,29/05/2019,2857,181,1.0,
daikon,21/05/2019,22/12/2019,3733,1957,1.0,
taro,21/05/2019,05/10/2019,4232,1106,1.0,
cobbler,23/05/2019,04/07/2019,3995,3860,1.0,
pumpernickel,23/05/2019,23/06/2019,4185,793,1.0,
cream,24/05/2019,26/10/2019,2191,2350,1.0,
banana,25/05/2019,25/04/2019,254,747,1.0,date modified comes before date added
hazelnut,25/05/2019,07/11/2019,355,1413,1.0,
string bean,26/05/2019,31/07/2019,28,171,1.0,
watercress,26/05/2019,00/00/0000,3842,3813,1.0,date modified error
quinoa,27/05/2019,27/05/2019,3119,1060,1.0,
cornmeal,30/05/2019,31/08/2019,2345,2230,1.0,
tamale,03/06/2019,14/09/2019,1998,773,1.0,
jackfruit,08/06/2019,25/10/2019,1247,349,1.0,
buns,12/06/2019,12/06/2019,264,3755,1.0,
radish,12/06/2019,16/07/2019,4164,3479,1.0,
cucumber,13/06/2019,22/12/2019,4074,3162,1.0,
sprouts,15/06/2019,30/11/2019,544,3964,1.0,
herbs,16/06/2019,31/12/2019,3085,4235,1.0,
ice cream cone,17/06/2019,02/07/2019,1264,4387,1.0,
beef,18/06/2019,05/12/2019,1160,214,1.0,
beet,21/06/2019,10/11/2019,1759,421,1.0,
garlic,21/06/2019,31/07/2019,2382,2797,1.0,
slaw,21/06/2019,14/09/2019,213,894,1.0,
squash,22/06/2019,27/10/2019,2339,4912,1.0,
hot dog,28/06/2019,24/12/2019,1350,2947,1.0,
meringue,01/07/2019,07/09/2019,698,552,1.0,
ugli fruit,06/07/2019,24/07/2019,2623,2267,1.0,
cilantro,07/07/2019,19/10/2019,3155,526,1.0,
halibut,10/07/2019,13/09/2019,1661,2317,1.0,
salt,11/07/2019,12/09/2019,3158,2824,1.0,
Gouda cheese,17/07/2019,12/12/2019,396,2682,1.0,capitol letter
succotash,17/07/2019,16/10/2019,1634,2488,1.0,
gyro,18/07/2019,04/12/2019,4113,2567,1.0,
baked Alaska,19/07/2019,19/08/2019,3949,2017,1.0,
turmeric,20/07/2019,21/07/2019,873,749,1.0,
sesame seed,21/07/2019,20/11/2019,3311,409,1.0,
nectarine,27/07/2019,16/11/2019,401,3388,1.0,
thyme,27/07/2019,02/09/2019,3319,2581,1.0,
popcorn,28/07/2019,06/08/2019,30,123.33,1.0,sales value is a float
sushi,29/07/2019,25/09/2019,1328,782,1.0,
pastry,03/08/2019,08/09/2019,3217,4760,1.0,
eggplant,04/08/2019,12/10/2019,4093,2212,1.0,
parsley,04/08/2019,08/09/2019,3246,4692,1.0,
dough,06/08/2019,31/10/2019,3296,2973,1.0,
meatloaf,06/08/2019,23/12/2019,485,92,1.0,
mozzarella,08/08/2019,04/08/2019,1818,3569,1.0,date modified comes before date added
shish kebab,08/08/2019,,568,4749,1.0,
bread,10/08/2019,18/09/2019,1678,1591,1.0,
bamboo shoots,11/08/2019,14/09/2019,2787,1391,1.0,
mint,18/08/2019,20/12/2019,3616,4643,1.0,
spinach,18/08/2019,16/12/2019,99,99999,1.0,sales data looks incorrect
horseradish,21/08/2019,10/09/2019,1274,2789,1.0,
popsicle,21/08/2019,30/11/2019,2780,856,1.0,
prime rib,21/08/2019,05/09/2019,1253,581,1.0,
brisket,25/08/2019,14/10/2019,2009,3810,1.0,
celery,25/08/2019,07/11/2019,3371,2293,1.0,
nutmeg,25/08/2019,10/09/2019,3392,2226,1.0,
maize,27/08/2019,05/09/2019,2240,378,1.0,
gelatin,28/08/2019,30/10/2019,2397,2472,1.0,
mandarin orange,29/08/2019,10/10/2019,3420,4173,1.0,
sherbet,01/09/2019,12/12/2019,937,2898,1.0,
shrimp,01/09/2019,04/10/2019,641,3297,1.0,
kettle corn,02/09/2019,20/12/2019,1939,3730,1.0,
noodles,02/09/2019,12/09/2019,1359,789,1.0,
pate,05/09/2019,27/10/2019,2473,77,1.0,
rhubarb,06/09/2019,13/12/2019,3259,97,1.0,
turkey,10/09/2019,11/12/2019,2645,2713,1.0,
flan,16/09/2019,21/11/2019,658,2414,1.0,
quiche,16/09/2019,16/09/2019,3960,1437,1.0,
lobster,17/09/2019,25/10/2019,178,4083,1.0,
marionberry,25/09/2019,25/12/2019,3310,4386,1.0,
chocolate,26/09/2019,05/11/2019,2839,2424,1.0,
yeast,26/09/2019,11/12/2019,1102,3780,1.0,
mochi,01/10/2019,05/10/2019,1242,1555,1.0,
lunch box,06/10/2019,19/12/2019,1034,3702,1.0,
vinegar,08/10/2019,19/11/2019,3983,2032,1.0,
raisin,13/10/2019,28/11/2019,3822,532,1.0,
lollipop,14/10/2019,29/11/2019,2732,3887,1.0,
loquat,14/10/2019,28/12/2019,3521,3498,1.0,
spareribs,15/10/2019,30/10/2019,1771,124,1.0,
cookie,16/10/2019,29/11/2019,1505,1608,1.0,
granola,18/10/2019,20/12/2019,4018,4371,1.0,
Jordan almonds,18/10/2019,29/11/2019,2486,3261,1.0,capitol letter
soy,18/10/2019,02/11/2019,3472,3821,1.0,
elderberry,20/10/2019,11/12/2019,1809,1800,1.0,
molasses,24/10/2019,19/12/2019,3390,4220,1.0,
spuds,27/10/2019,30/11/2019,235,1854,1.0,
grain,29/10/2019,03/11/2019,194,3918,1.0,
kumquat,02/11/2019,23/11/2019,191,257,1.0,
currants,12/11/2019,19/11/2019,4036,4844,1.0,
Danish pastry,12/11/2019,16/12/2019,2655,1765,1.0,has a capitol letter
punch,13/11/2019,26/12/2019,743,1045,1.0,
macaroon,15/11/2019,27/12/2019,3648,4498,1.0,
lima beans,16/11/2019,09/12/2019,2336,2645,1.0,
mustard,16/11/2019,23/12/2019,2530,3546,1.0,
lettuce,17/11/2019,14/12/2019,1288,661,1.0,
fennel,18/11/2019,21/12/2019,2391,2,1.0,
coconut,19/11/2019,03/12/2019,2206,28,1.0,
sorbet,19/11/2019,14/12/2019,3946,4932,1.0,
mole sauce,22/11/2019,26/11/2019,3593,3401,1.0,
water chestnut,23/11/2019,26/11/2019,1341,799,1.0,
ginger,25/11/2019,20/12/2019,3253,967,1.0,
raspberry,28/11/2019,23/12/2019,1586,113,1.0,
basil,01/12/2019,12/12/2019,1313,3519,1.0,
black tea,02/12/2019,16/12/2019,2677,4016,1.0,
cheesecake,03/12/2019,11/12/2019,1671,1830,1.0,
mincemeat,06/12/2019,18/12/2019,2124,497,1.0,
oregano,07/12/2019,25/12/2019,3052,4747,1.0,
whey,08/12/2019,08/12/2019,4176,378,1.0,
lime,13/12/2019,16/12/2019,1908,2727,1.0,
pretzel,13/12/2019,18/12/2019,664,3995,1.0,
pot roast,14/12/2019,21/12/2019,3492,1712,1.0,
milk,19/12/2019,22/12/2019,3563,302,1.0,
milkshake,19/12/2019,30/12/2019,4213,1687,1.0,
test,22/12/2019,01/01/2020,955,4215,1.0,not a food
margarine,23/12/2019,28/12/2019,1462,379,1.0,
scallops,23/12/2019,23/12/2019,2331,3900,1.0,
summer squash,23/12/2019,25/12/2019,663,3549,1.0,
lasagna,25/12/2019,01/01/2020,3741,25,1.0,
maple syrup,28/12/2019,28/12/2019,838,2072,1.0,
turnip,28/12/2019,28/12/2019,630,2063,1.0,
green tea,30/12/2019,31/12/2019,49,4026,1.0,
brownie,31/12/2019,31/12/2019,3655,1649,1.0,
bagel,01/01/2020,01/01/2020,1075,1801,1.0,
whipped cream,35/01/2018,17/09/2018,2901,2472,1.0,date added is incorrect
syrup,,04/09/2019,2502,808,1.0,missing date added
